setting,test,cls,n_train,n_test,disp_own,disp_neighbourhood,disp_ratio
WT->WT,WT3,SPG,3676,2220,0.16299843788146973,0.27370011806488037,1.6791579209115575
WT->WT,WT3,SPC,14784,9362,0.1675301194190979,0.2180970162153244,1.3018376455025795
WT->WT,WT3,RS,12316,9043,0.07866629213094711,0.13196735084056854,1.6775590569452166
WT->WT,WT3,ES,19526,13999,0.0862198993563652,0.12826602160930634,1.4876614629200104
WT->ob/ob,DB1,SPG,5896,2350,0.042725056409835815,0.1409294605255127,3.2985201745238437
WT->ob/ob,DB1,SPC,24146,4857,0.09879916161298752,0.21398383378982544,2.1658466559466882
WT->ob/ob,DB1,RS,21359,7306,0.07365857064723969,0.1330265998840332,1.8059894281836475
WT->ob/ob,DB1,ES,33525,7061,0.05291023105382919,0.10222821682691574,1.9321067927847828
WT->ob/ob,DB2,SPG,5896,1854,0.07269366085529327,0.16673405468463898,2.2936532941509995
WT->ob/ob,DB2,SPC,24146,8878,0.08930327743291855,0.2107735276222229,2.360199241069831
WT->ob/ob,DB2,RS,21359,5576,0.0726075991988182,0.14996019005775452,2.0653511713990858
WT->ob/ob,DB2,ES,33525,14774,0.12792755663394928,0.22821223735809326,1.7839177372166783
WT->ob/ob,DB3,SPG,5896,1908,0.22028851509094238,0.26127225160598755,1.1860457250716212
WT->ob/ob,DB3,SPC,24146,7163,0.12097412347793579,0.1329972892999649,1.0993862610975809
WT->ob/ob,DB3,RS,21359,6402,0.07883651554584503,0.10016527026891708,1.270544107326369
WT->ob/ob,DB3,ES,33525,11518,0.045655906200408936,0.06873993575572968,1.5056088352291643
WT->human,HU1,SPG,5896,1693,0.35034409165382385,0.500494658946991,1.4285802754211463
WT->human,HU1,SPC,24146,6430,0.40444985032081604,0.4292600154876709,1.0613429950516116
WT->human,HU1,RS,21359,9870,0.36076468229293823,0.53268963098526,1.4765570387866294
WT->human,HU1,ES,33525,6710,0.3056040406227112,0.39949896931648254,1.3072437409611708
WT->human,HU2,SPG,5896,1936,0.3348958194255829,0.4784604609012604,1.4286844837953523
WT->human,HU2,SPC,24146,6986,0.38699981570243835,0.4159156382083893,1.0747179231945272
WT->human,HU2,RS,21359,10262,0.36643195152282715,0.52937251329422,1.4446679965932019
WT->human,HU2,ES,33525,7773,0.2785013020038605,0.36783280968666077,1.3207579535177973
