setting,test,gain_nbr,gain_smooth,gain_sage,nbr_only,expr,homog
DB->DB,DB1,0.002804453022243303,0.003155390029822014,0.0014321545624388365,0.6094032812882951,0.7209295866898504,0.48487994808565865
DB->DB,DB2,0.013669428973511977,0.02639287004451596,-0.002510440987433471,0.5867237348241958,0.6932594465740431,0.5300474014971152
DB->DB,DB3,0.000978681690053329,0.01634202644217697,-0.0017796390275350848,0.6244810836880408,0.7374489246452735,0.5676460054586097
HU->HU,HU1,0.02522495004151759,0.014666330008570594,0.015395177755675282,0.4590449672779513,0.4804917511343958,0.37997544157929536
HU->HU,HU2,0.029364395682770883,0.014935957459899785,0.023347759390228984,0.4680674217917197,0.4912403873876839,0.39708919142832416
WT->DB,DB1,0.004669442743600927,0.010292873632736788,0.0022888934700171504,0.6144905367207355,0.7214555055079434,0.48487994808565865
WT->DB,DB2,0.01156248027752993,0.02759414648257319,0.01338571101127195,0.5773995457418502,0.683939426398752,0.5300474014971152
WT->DB,DB3,0.005196334866784391,0.018522723965814225,0.008525201637023083,0.6345909876178824,0.7348814073331169,0.5676460054586097
WT->HU,HU1,0.011359300105633519,0.016059780304960247,-0.043068888061840616,0.3562917884770369,0.3814496368397012,0.37997544157929536
WT->HU,HU2,0.0136046554146943,0.016202270283993903,-0.03401115599562737,0.3730247384098722,0.3886842855481344,0.39708919142832416
WT->WT,WT1,0.007404650488019748,0.0048915230640683705,0.0069726722034120225,0.6330776582861138,0.6895751097236495,0.5379456774296931
WT->WT,WT2,0.01830877980784895,0.020449014723063708,0.0157945435136273,0.6378027070522049,0.6947516179544412,0.5328755590634043
WT->WT,WT3,0.009417552667489337,0.012743400729108734,0.01293302579915967,0.6368844801787958,0.7138968530576417,0.5609827479975354
WTDB->HU,HU1,0.009921485610141278,0.014763596402419088,-0.038261543489446936,0.3494898635724567,0.3801901690908722,0.37997544157929536
WTDB->HU,HU2,0.011914530218884,0.01502593077401948,-0.030557482650427903,0.3601354007659513,0.3891140065985838,0.39708919142832416
