setting,test,depth,seed,macro_f1,bal_acc
WT->WT,WT1,1,0,0.6973682704270515,0.7378593305282987
WT->WT,WT1,1,1,0.6951202555709219,0.7353161470129395
WT->WT,WT1,1,2,0.6978475853646419,0.7389581847048344
WT->WT,WT1,2,0,0.6971044988386946,0.7332572476049255
WT->WT,WT1,2,1,0.6975159309346155,0.7337822967251854
WT->WT,WT1,2,2,0.6959726561589157,0.7296137418757901
WT->WT,WT1,3,0,0.6935135607805907,0.7322581453259033
WT->WT,WT1,3,1,0.6998991583177714,0.7322085195851504
WT->WT,WT1,3,2,0.6926881941293039,0.7355737920948322
WT->HU,HU1,1,0,0.36119051354509757,0.4542436674691913
WT->HU,HU1,1,1,0.3541502131961689,0.45229854963474514
WT->HU,HU1,1,2,0.3499425631578359,0.44911472931168767
WT->HU,HU1,2,0,0.3480134851556993,0.4498228474870915
WT->HU,HU1,2,1,0.3370484426379012,0.44208798563580604
WT->HU,HU1,2,2,0.3388636139603647,0.44630030400665754
WT->HU,HU1,3,0,0.33164667365776157,0.44503092690631885
WT->HU,HU1,3,1,0.33225045409964893,0.4418163181778787
WT->HU,HU1,3,2,0.3286524980544716,0.44445076047956855
WT->HU,HU2,1,0,0.37052336383998974,0.46563612461052395
WT->HU,HU2,1,1,0.3668967975390306,0.46596842076391004
WT->HU,HU2,1,2,0.36165005887996504,0.46335128681627535
WT->HU,HU2,2,0,0.3564658324036496,0.45668207254291504
WT->HU,HU2,2,1,0.35121144854316677,0.45753095889031437
WT->HU,HU2,2,2,0.357585903497576,0.46640510764179366
WT->HU,HU2,3,0,0.3486233970608675,0.46135116042758967
WT->HU,HU2,3,1,0.3470392853789944,0.45430832702489543
WT->HU,HU2,3,2,0.34473811436432683,0.46005192735235834
