setting,test,nbr,nbr_lo,nbr_hi,sm,sm_lo,sm_hi
DB->DB,DB1,0.002804453022243303,-0.0012291709768814272,0.006518890924162195,0.003155390029822014,-0.0012639378454062905,0.007602801703215308
DB->DB,DB2,0.013669428973511977,0.010729756269180744,0.017267833043623712,0.02639287004451596,0.022153936103964662,0.030529261364816793
DB->DB,DB3,0.000978681690053329,-0.0026687083701544875,0.004431057586982577,0.01634202644217697,0.01328704009378146,0.019474515062619373
HU->HU,HU1,0.025224950041517535,0.020435183469480197,0.030012609930308756,0.014666330008570538,0.010349979589314,0.018965550227158595
HU->HU,HU2,0.029364395682770883,0.024980626289632085,0.033545729755224934,0.014935957459899785,0.01134142620401037,0.01902606021777171
WT->DB,DB1,0.004669442743600927,0.0002119133247784761,0.00946419439248639,0.010292873632736788,0.006762497240673316,0.014223816497240579
WT->DB,DB2,0.01156248027752993,0.008056017404703297,0.014912258592922514,0.02759414648257319,0.023960191652938074,0.03129512335361308
WT->DB,DB3,0.005196334866784391,0.0015673670907401767,0.009202635638580245,0.018522723965814225,0.014688176572705656,0.022191546519108565
WT->HU,HU1,0.011359300105633463,0.0069475840281878086,0.015422080731597705,0.01605978030496019,0.01196832882241836,0.020269563260805337
WT->HU,HU2,0.013604655414694355,0.00941633628787633,0.017327250470997847,0.016202270283993903,0.01266679716388609,0.020222149412406357
WT->WT,WT1,0.007404650488019748,0.0034464082807178385,0.011329997002838722,0.0048915230640683705,0.0010707389331946681,0.00841098757209621
WT->WT,WT2,0.01830877980784895,0.014305951826664364,0.02268429105581664,0.020449014723063708,0.016227242533203897,0.024732400281402
WT->WT,WT3,0.009417552667489337,0.0064470216337529475,0.012732907824391725,0.012743400729108734,0.010063720378553279,0.016095096966797832
WTDB->HU,HU1,0.009921485610141278,0.006256831980068459,0.013499651806441247,0.014763596402419088,0.011307216089220388,0.018455564995796894
WTDB->HU,HU2,0.011914530218883945,0.008076309933458162,0.01555266162057499,0.01502593077401948,0.011068576154487999,0.018836788809461328
