scheme,setting,train,test,model,seed,n_train,n_test,macro_f1,bal_acc,acc,f1_SPG,f1_SPC,f1_RS,f1_ES,f1_TubSom,f1_Interst,f1_Sertoli,f1_Myoid,f1_Leydig,f1_Endothelial,f1_Macrophage
germ4,WT->WT,WT2+WT3,WT1,expr,0,59964,24962,0.6895751097236495,0.7294776997592285,0.7395240765964266,0.4470302188259812,0.7043709616115545,0.7674277937396038,0.8394714647174585,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,smooth_a0.25,0,59964,24962,0.6957349594262493,0.7325372556795556,0.7470154635045269,0.4543478260869565,0.7108140947752126,0.7738550333558204,0.8439228834870075,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,smooth_a0.5,0,59964,24962,0.6944666327877179,0.7263670870781324,0.7473359506449804,0.4564796905222437,0.7090204422828482,0.7715750915750915,0.8407913067706883,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,smooth_a0.75,0,59964,24962,0.6720740257672174,0.6935893719147542,0.7291082445316882,0.4326923076923077,0.6891676168757127,0.748033170316819,0.8184030081840301,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,smooth_a1.0,0,59964,24962,0.6186826242947454,0.6321376216030115,0.6864033330662607,0.3494241607449154,0.6351786535807391,0.7138126121153581,0.7763150707379691,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_k5,0,59964,24962,0.6993397197958641,0.7416539696610583,0.7481371684961141,0.461405330564209,0.7127578304048893,0.7782458251842936,0.8449498930300642,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_only_k5,0,59964,24962,0.6475520827958958,0.6892792462988562,0.6948161205031648,0.4166666666666667,0.6423267326732673,0.7352502979737783,0.7959646338698708,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_k15,0,59964,24962,0.6969797602116693,0.7392859471274353,0.7460540020831664,0.4582900657667013,0.7084899148707723,0.7775280898876404,0.8436109703215633,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_only_k15,0,59964,24962,0.6330776582861138,0.6706800977392767,0.682797852736159,0.3872289568038244,0.6342589031612953,0.7278206541712605,0.7830021190080751,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_k30,0,59964,24962,0.6925569989859205,0.7334191658529098,0.7424485217530646,0.4506258692628651,0.7066390994716287,0.7712789827973074,0.8416840444118807,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_only_k30,0,59964,24962,0.6054535049348682,0.6381419934810328,0.6571989423924365,0.3487161693268563,0.6125534514355528,0.7026129637649776,0.757931435212086,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,expr_mlp,0,59964,24962,0.6838113270821105,0.7059936034490626,0.7431295569265284,0.4152,0.7225557461406518,0.7567110222290593,0.8407785399587306,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_k15_mlp,0,59964,24962,0.6861531262091909,0.702201969542769,0.7495392997355981,0.409310496267018,0.7338331114692076,0.7601803155522163,0.8412885815483218,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,sage_k15,0,59964,24962,0.6986506360526026,0.7316773405247465,0.751221857222979,0.449649575802287,0.7258123940756024,0.7724948485079752,0.8466457258245457,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,expr_mlp,1,59964,24962,0.6803009580238406,0.7084346134636469,0.736920118580242,0.4147069802164987,0.7102189781021898,0.7561837455830389,0.8400941281936352,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_k15_mlp,1,59964,24962,0.6885988812610404,0.7079804686857989,0.7501802740165051,0.4154131465073151,0.7313538854950987,0.7595328331657514,0.8480956598759964,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,sage_k15,1,59964,24962,0.6945669307950806,0.7340691559173954,0.7452928451245894,0.4439108061749571,0.7162965750846819,0.7715821812596007,0.8464781606610827,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,expr_mlp,2,59964,24962,0.6802784564906681,0.6998249565603532,0.7402451726624469,0.4100124120810922,0.7267263069611406,0.7510135393559244,0.8333615675645152,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,nbr_k15_mlp,2,59964,24962,0.6915452410960409,0.7032659650731363,0.7576716609246054,0.4098436062557498,0.7437573089358189,0.7650038372985418,0.847576211894053,,,,,,,
germ4,WT->WT,WT2+WT3,WT1,sage_k15,2,59964,24962,0.6964257789335013,0.7348077171092013,0.7472157679673103,0.446521287642783,0.7184306705452376,0.7735234847310495,0.8472276728149353,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,expr,0,59586,25340,0.6947516179544412,0.7300155810261502,0.7576558800315707,0.4429979542495815,0.7045255706673029,0.7538109154095253,0.8776720314913549,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,smooth_a0.25,0,59586,25340,0.7091961403598283,0.7379342210391646,0.7726913970007893,0.4690553745928338,0.719070943276979,0.7627369899352423,0.8859212536342581,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,smooth_a0.5,0,59586,25340,0.7152006326775049,0.732748938524626,0.7794001578531965,0.4887549269649895,0.7240729101194218,0.7633798497163011,0.8845948439093072,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,smooth_a0.75,0,59586,25340,0.689033014605094,0.6925930581897995,0.7606945540647199,0.4495185694635488,0.7023332547725666,0.7400340211522817,0.8642462130319788,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,smooth_a1.0,0,59586,25340,0.6234436465947545,0.6221079727654568,0.7111286503551697,0.33625,0.6427721830148283,0.6945105676981894,0.8202418356660002,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_k5,0,59586,25340,0.7178133308773124,0.7486384601462395,0.7777032359905288,0.4949000407996736,0.723377342082378,0.7655091689426453,0.8874667716845526,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_only_k5,0,59586,25340,0.6609713025196491,0.6923057135463981,0.7222178374112076,0.4299902629016553,0.65017160188363,0.7218430034129693,0.8418803418803419,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_k15,0,59586,25340,0.7130603977622901,0.7441713660029226,0.7732833464877664,0.4875682231655548,0.7192234848484849,0.7610619469026548,0.884387936132466,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_only_k15,0,59586,25340,0.6378027070522049,0.6688611178577377,0.6997632202052092,0.4000757002271007,0.6262545802134778,0.7001403399345081,0.824740207833733,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_k30,0,59586,25340,0.708775161193265,0.7403615124161154,0.7705998421468034,0.4743411927877947,0.7176284584980237,0.7583320170589164,0.8847989764283254,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_only_k30,0,59586,25340,0.6092066896845376,0.6374230374786896,0.6713496448303078,0.3600819214299013,0.6107456140350878,0.6687417321609214,0.7972574911122398,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,expr_mlp,0,59586,25340,0.6900869248593977,0.711674489675188,0.7601026045777427,0.4160736709920469,0.7119565217391305,0.7551262766210118,0.8771912300854018,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_k15_mlp,0,59586,25340,0.7019050284264431,0.719424271628203,0.7692580899763221,0.4490263459335624,0.723996111568085,0.7566320645905421,0.8779655916135828,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,sage_k15,0,59586,25340,0.7101560862552874,0.7382006713865966,0.773559589581689,0.4701783152285304,0.7194672933803369,0.7649502312093425,0.8860285052029393,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,expr_mlp,1,59586,25340,0.6921753214946896,0.7139362240320573,0.7609707971586425,0.4268422170312168,0.7138831772142259,0.7513648416783653,0.8766110500549505,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_k15_mlp,1,59586,25340,0.7019668342332968,0.7083070507311041,0.778689818468824,0.4234811586772622,0.7412041807743265,0.7604550804236956,0.882726917057903,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,sage_k15,1,59586,25340,0.7119971624706058,0.7375602494753521,0.7753354380426204,0.472620050547599,0.7276104961684341,0.7631332082551595,0.8846248949112309,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,expr_mlp,2,59586,25340,0.6835245852461076,0.7104244944117037,0.7511444356748224,0.4157735085945399,0.6990245437382001,0.7495104684440428,0.8697898202076475,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,nbr_k15_mlp,2,59586,25340,0.7009608682461116,0.7134734943034502,0.7724151539068667,0.4420184376516254,0.7230546892827261,0.7569085939872456,0.881861752062849,,,,,,,
germ4,WT->WT,WT1+WT3,WT2,sage_k15,2,59586,25340,0.7094852356783122,0.7378070379767666,0.773559589581689,0.4656472986748216,0.7173366834170855,0.7679549366296354,0.8870020239917066,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,expr,0,50302,34624,0.7138968530576417,0.7591862011065418,0.7747227356746765,0.4848140789100199,0.7458563535911602,0.7338684968441693,0.8910484828852175,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,smooth_a0.25,0,50302,34624,0.7233589778598404,0.7639580299387576,0.7833872458410351,0.5048019207683073,0.7534516765285996,0.7411117898594991,0.8940705242829554,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,smooth_a0.5,0,50302,34624,0.7266402537867505,0.7583845357955683,0.7865642329020333,0.5181076672104404,0.7591478289152708,0.7375749137356983,0.8917306052855924,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,smooth_a0.75,0,50302,34624,0.7044681076835795,0.7191872513450701,0.7689752772643254,0.4900413378429162,0.7395564168819982,0.7166223796870387,0.871652296322365,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,smooth_a1.0,0,50302,34624,0.6369530853437627,0.6384884914186228,0.7156885397412199,0.3779628443305573,0.6772710057891035,0.669167724806649,0.8234107664487411,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_k5,0,50302,34624,0.726636078904483,0.7723746984019002,0.7844269870609981,0.5126785193821043,0.7553261585767626,0.7434478564913347,0.8950917811677306,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_only_k5,0,50302,34624,0.6642492234076955,0.7142477538840099,0.7216092883548983,0.4436238955558486,0.6805838424983028,0.6882817243472981,0.8445074312293325,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_k15,0,50302,34624,0.7233144057251311,0.7709423538004427,0.781856515711645,0.5019897669130188,0.7527012799911342,0.7437155490944334,0.8948510269019381,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_only_k15,0,50302,34624,0.6368844801787958,0.6900700172174985,0.6942871996303143,0.4042501221299462,0.643829242759102,0.6719282511210762,0.8275303047050587,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_k30,0,50302,34624,0.7212070341428317,0.7698673470441447,0.7796903881700554,0.4988050049205679,0.7505555555555555,0.7419706702217913,0.8934969058734122,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_only_k30,0,50302,34624,0.6051317485476779,0.6605364320520215,0.6621996303142329,0.3602401601067378,0.6039012017633915,0.6493537435225445,0.8070318887980377,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,expr_mlp,0,50302,34624,0.7144841947448539,0.7477926323412634,0.780759011090573,0.4711316397228637,0.7569542925711792,0.73653172799312,0.893319118692253,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_k15_mlp,0,50302,34624,0.7206841099836878,0.7443623210604672,0.7871707486136784,0.488039924281535,0.7673212882953653,0.7337263571604028,0.8936488701974481,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,sage_k15,0,50302,34624,0.7261610032704229,0.7618257524925002,0.7869396950092421,0.5097545626179988,0.7654085045389393,0.7350003102314326,0.8944806356933209,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,expr_mlp,1,50302,34624,0.7070051867937691,0.7460583370428979,0.7725854898336414,0.465359477124183,0.7405189620758483,0.7296558578705429,0.8924864501045024,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_k15_mlp,1,50302,34624,0.7234366727488967,0.7488530351168436,0.7871418669131238,0.5004266939750811,0.7616089291355165,0.7394198473282443,0.8922912205567451,,,,,,,
