setting,test,strat,bin,n,acc_expr,acc_nbr,acc_smooth,gain_nbr,gain_smooth
DB->DB,DB1,umi_bin,low,7193,0.6507715834839427,0.6582788822466287,0.6638398442930628,0.0075072987626859655,0.013068260809120047
DB->DB,DB1,umi_bin,mid,7195,0.7612230715774844,0.7601111883252258,0.761084086170952,-0.0011118832522585276,-0.0001389854065323437
DB->DB,DB1,umi_bin,high,7186,0.837879209574172,0.8345393821319231,0.8349568605622043,-0.0033398274422488106,-0.00292234901196764
DB->DB,DB1,hom_bin,0-0.2,4578,0.48995194408038445,0.4521625163826999,0.41175185670598513,-0.03778942769768456,-0.07820008737439932
DB->DB,DB1,hom_bin,0.2-0.4,4733,0.6984998943587577,0.6972321994506655,0.7027255440523981,-0.0012676949080921984,0.004225649693640365
DB->DB,DB1,hom_bin,0.4-0.6,5354,0.8156518490847964,0.8305939484497572,0.8535674262233844,0.014942099364960826,0.037915577138588064
DB->DB,DB1,hom_bin,0.6-0.8,4576,0.8852709790209791,0.9047202797202797,0.9226398601398601,0.01944930069930062,0.03736888111888104
DB->DB,DB1,hom_bin,0.8-1,2333,0.9481354479211316,0.9618516930990142,0.9635662237462495,0.013716245177882613,0.01543077582511787
DB->DB,DB2,umi_bin,low,10361,0.6284142457291767,0.6560177589035807,0.6793745777434611,0.027603513174404015,0.050960332014284404
DB->DB,DB2,umi_bin,mid,10371,0.7626072702728763,0.767524828849677,0.7803490502362357,0.004917558576800651,0.01774177996335935
DB->DB,DB2,umi_bin,high,10350,0.8674396135265701,0.8682125603864734,0.8727536231884058,0.0007729468599033673,0.005314009661835706
DB->DB,DB2,hom_bin,0-0.2,5179,0.5172813284417841,0.4796292720602433,0.43348136705927787,-0.03765205638154079,-0.08379996138250623
DB->DB,DB2,hom_bin,0.2-0.4,6259,0.6798210576769452,0.668956702348618,0.6772647387761623,-0.010864355328327191,-0.0025563189007828946
DB->DB,DB2,hom_bin,0.4-0.6,8048,0.782927435387674,0.8076540755467196,0.8339960238568589,0.024726640159045687,0.05106858846918494
DB->DB,DB2,hom_bin,0.6-0.8,6567,0.8474189127455459,0.8845743870869499,0.9229480737018425,0.03715547434140398,0.07552916095629658
DB->DB,DB2,hom_bin,0.8-1,5029,0.9142970769536687,0.9471067806721019,0.9759395506064824,0.03280970371843317,0.06164247365281372
DB->DB,DB3,umi_bin,low,9001,0.690812131985335,0.6994778357960226,0.7291412065326075,0.008665703810687653,0.038329074547272524
DB->DB,DB3,umi_bin,mid,8993,0.80662737684866,0.7996219281663516,0.8130768375403091,-0.007005448682308457,0.006449460691649089
DB->DB,DB3,umi_bin,high,8997,0.8720684672668667,0.8697343558964099,0.8751806157608092,-0.002334111370456804,0.0031121484939424793
DB->DB,DB3,hom_bin,0-0.2,3923,0.5075197552893194,0.47540147846036196,0.4241651797094061,-0.032118276828957404,-0.08335457557991327
DB->DB,DB3,hom_bin,0.2-0.4,4734,0.6734262779890157,0.6533586818757922,0.6552598225602028,-0.020067596113223507,-0.0181664554288129
DB->DB,DB3,hom_bin,0.4-0.6,6404,0.8002810743285447,0.8101186758276078,0.8525921299188007,0.009837601499063098,0.05231105559025606
