mouse,human
Aldh1l1,ALDH1L1
Sry,SRY
Sox12,SOX12
Fry,FRY
Rpe65,RPE65
Ywhae,YWHAE
Camkv,CAMKV
Tst,TST
Mpst,MPST
Hs3st1,HS3ST1
Hs3st2,HS3ST2
Hs3st3b1,HS3ST3B1
Hs3st3a1,HS3ST3A1
Hs3st4,HS3ST4
Rps11,RPS11
Tnfrsf9,TNFRSF9
Ticrr,TICRR
Bsg,BSG
Gm6525,RPL36AL
Rpl36a-ps1,RPL36A
Rpl6,RPL6
Hs6st1,HS6ST1
Hs6st3,HS6ST3
Kdsr,KDSR
Map9,MAP9
Tnfaip3,TNFAIP3
Adora2a,ADORA2A
Rbfox1,RBFOX1
Mug1,PZP
Adora3,ADORA3
H2-Oa,HLA-DOA
Hba-x,HBZ
Hbq1a,HBQ1
Cryaa,CRYAA
Prxl2c,PRXL2C
Aak1,AAK1
Aanat,AANAT
Aars1,AARS1
Rpl9-ps6,RPL9
Abca1,ABCA1
Abca17,ABCA17P
Abca15,ABCA15P
Abca3,ABCA3
Abcb5,ABCB5
Abcb4,ABCB4
Abcb1a,ABCB1
Tap1,TAP1
Tap2,TAP2
Abcb6,ABCB6
Abcc6,ABCC6
Cftr,CFTR
Abcg4,ABCG4
Abhd10,ABHD10
Abhd17a,ABHD17A
Abhd2,ABHD2
Ephx4,EPHX4
Abhd8,ABHD8
Abi1,ABI1
Abi3bp,ABI3BP
Aoc1l1,AOC1
Abra,ABRA
Abraxas1,ABRAXAS1
Abraxas2,ABRAXAS2
Adcy5,ADCY5
Acap2,ACAP2
Soat2,SOAT2
Atp2a1,ATP2A1
Acaca,ACACA
Asic2,ASIC2
Asic3,ASIC3
Asic1,ASIC1
Asic4,ASIC4
Fgf8,FGF8
Furin,FURIN
A1cf,A1CF
Macf1,MACF1
Larp6,LARP6
Chrna1,CHRNA1
Chrnb1,CHRNB1
Chrne,CHRNE
Chrng,CHRNG
Pgm5,PGM5
Acin1,ACIN1
Tnk1,TNK1
Tnk2,TNK2
Acly,ACLY
Sdhaf3,SDHAF3
Acot11,ACOT11
Baat,BAAT
Acot9,ACOT9
Acp5,ACP5
Pxylp1,PXYLP1
Adipoq,ADIPOQ
Acsl1,ACSL1
Acsl3,ACSL3
Acsl4,ACSL4
Acss1,ACSS1
Traf3ip2,TRAF3IP2
Actc1,ACTC1
Inhba,INHBA
Inhbb,INHBB
Acta1,ACTA1
Acte1,ACTE1P
Pomc,POMC
Actg1,ACTG1
Actb,ACTB
Actn2,ACTN2
Actn3,ACTN3
Actr1b,ACTR1B
Actr1a,ACTR1A
Actr2,ACTR2
Acvr2a,ACVR2A
Acvr2b,ACVR2B
Acvr1,ACVR1
Acvr1b,ACVR1B
Noc3l,NOC3L
Ada,ADA
Mapda,MAPDA
Adam10,ADAM10
Adam12,ADAM12
Adam17,ADAM17
Adam8,ADAM8
Adam9,ADAM9
Adamts15,ADAMTS15
Adamts2,ADAMTS2
Adamts8,ADAMTS8
Adamtsl2,ADAMTSL2
Thsd4,THSD4
Adarb1,ADARB1
Coq8a,COQ8A
Coq8b,COQ8B
Adcy8,ADCY8
Adcy3,ADCY3
Adcy7,ADCY7
Adcy6,ADCY6
Adcy9,ADCY9
Adcyap1,ADCYAP1
Adcyap1r1,ADCYAP1R1
Add3,ADD3
Plin2,PLIN2
Adgra1,ADGRA1
Adgrg7,ADGRG7
Adgrl2,ADGRL2
Adh5,ADH5
Adipor1,ADIPOR1
Adissp,ADISSP
Adk,ADK
Adm2,ADM2
Ackr5,ACKR5
Adnp,ADNP
Adnp2,ADNP2
Adprs,ADPRS
Adprm,ADPRM
Parp2,PARP2
Sars1,SARS1
Adra1a,ADRA1A
Adrm1,ADRM1
Adss2,ADSS2
Adss1,ADSS1
Ap1g1,AP1G1
Slc4a1,SLC4A1
Slc4a2,SLC4A2
Slc4a3,SLC4A3
Aebp1,AEBP1
Ctnna1,CTNNA1
Dll1,DLL1
Lgmn,LGMN
Tle5,TLE5
Cfp,CFP
Has3,HAS3
Hnf1a,HNF1A
Gfap,GFAP
Afap1l1,AFAP1L1
Aff1,AFF1
Parvb,PARVB
Apoa2,APOA2
Agr3,AGR3
Gatm,GATM
Acan,ACAN
Agfg1,AGFG1
Agl,AGL
Igfbp7,IGFBP7
Ago1,AGO1
Ago2,AGO2
Ago3,AGO3
Ago4,AGO4
Gpat4,GPAT4
Gpat3,GPAT3
Agrn,AGRN
Agrp,AGRP
Agtr1b,AGTR1
Aplnr,APLNR
Agxt,AGXT
Etnppl,ETNPPL
Ahcyl2,AHCYL2
Ahr,AHR
Ahrr,AHRR
Ahsa1,AHSA1
Ahsa2,AHSA2P
Ahsg,AHSG
Tgfb1,TGFB1
Naxe,NAXE
Yjefn3,YJEFN3
Aicda,AICDA
Aifm1,AIFM1
Aif1l,AIF1L
Slc45a2,SLC45A2
Crybg1,CRYBG1
Crybg2,CRYBG2
Aimp1,AIMP1
Aipl1,AIPL1
Wdr75,WDR75
Wdr55,WDR55
Ak7,AK7
Akap1,AKAP1
Akap12,AKAP12
Akap13,AKAP13
Ak9,AK9
Akr1a1,AKR1A1
Akr1b1,AKR1B1
Efna5,EFNA5
Alas2,ALAS2
Alas1,ALAS1
Alcam,ALCAM
Aldh1b1,ALDH1B1
Aldh2,ALDH2
Aldh3a2,ALDH3A2
Aldh3a1,ALDH3A1
Aldh3b2,ALDH3B2
Aldh3b1,ALDH3B1
Aldh9a1,ALDH9A1
Aldoa,ALDOA
Aldoc,ALDOC
Kcnk5,KCNK5
Rnf121,RNF121
Cops2,COPS2
Acvrl1,ACVRL1
Bmpr1a,BMPR1A
Tgfbr1,TGFBR1
Bmpr1b,BMPR1B
Paf1,PAF1
Lmx1b,LMX1B
Alox15,ALOX15
Alox12,ALOX12
Alox12b,ALOX12B
Alox8,ALOX15B
Aloxe3,ALOXE3
Alox5,ALOX5
Alpl,ALPL
Pdlim3,PDLIM3
Gbgt1,GBGT1
Col1a1,COL1A1
Col1a2,COL1A2
Sptan1,SPTAN1
H2-Ea,HLA-DRA
Chn1,CHN1
Napa,NAPA
Gfer,GFER
Als2,ALS2
Tmem237,TMEM237
Carf,CARF
Vsx2,VSX2
Alx4,ALX4
Vwa2,VWA2
Ambp,AMBP
Amfr,AMFR
Myh6,MYH6
Runx1,RUNX1
Amotl2,AMOTL2
Ampd2,AMPD2
Ampd3,AMPD3
Prkaa1,PRKAA1
Prkaa2,PRKAA2
Dcaf7,DCAF7
Wdhd1,WDHD1
Nppa,NPPA
Hesx1,HESX1
Sapcd2,SAPCD2
Angpt1,ANGPT1
Angpt2,ANGPT2
Vps51,VPS51
Angptl1,ANGPTL1
Angptl2,ANGPTL2
Ank1,ANK1
Ank2,ANK2
Ank3,ANK3
Ankfn1,ANKFN1
Ank,ANKH
Ankib1,ANKIB1
Ankmy2,ANKMY2
Ankrd10,ANKRD10
Ankrd13a,ANKRD13A
Kank1,KANK1
Aard,AARD
Ankrd28,ANKRD28
Ankrd33,ANKRD33
Ankrd33b,ANKRD33B
Sowaha,SOWAHA
Ankrd46,ANKRD46
Ankrd52,ANKRD52
Sowahd,SOWAHD
Ankef1,ANKEF1
Ankrd6,ANKRD6
Nusap1,NUSAP1
Ano1,ANO1
Ano10,ANO10
Ano2,ANO2
Anpep,ANPEP
Serpinc1,SERPINC1
Lefty2,LEFTY2
Lefty1,LEFTY1
Antxr1,ANTXR1
Zfand4,ZFAND4
Anxa5,ANXA5
Anxa3,ANXA3
Kdm1a,KDM1A
Aox3,AOX3P
Aox1,AOX1
Aox2,AOX2P
Tfap2a,TFAP2A
Tfap2b,TFAP2B
Ap2m1,AP2M1
Ap3b1,AP3B1
Ap4b1,AP4B1
Apba1,APBA1
Apba2,APBA2
Apbb2,APBB2
Speg,SPEG
Atg3,ATG3
Atg4b,ATG4B
Atg4c,ATG4C
Atg5,ATG5
Api5,API5
Prkci,PRKCI
Aplp1,APLP1
Apobec2,APOBEC2
Apoa1,APOA1
Apoa4,APOA4
Apob,APOB
Apod,APOD
Apoe,APOE
Lrp8,LRP8
Apoo,APOO
Coa8,COA8
Pycard,PYCARD
App,APP
Nae1,NAE1
Tnfsf13,TNFSF13
Mip,MIP
Aqp11,AQP11
Aqp1,AQP1
Aqp3,AQP3
Aqp8,AQP8
Aqp9,AQP9
Cyp19a1,CYP19A1
Ar,AR
Rnf14,RNF14
Slc25a12,SLC25A12
Arcn1,ARCN1
Naa10,NAA10
Naa11,NAA11
Arf1,ARF1
Arf2,ARF2P
Arf3,ARF3
Arf6,ARF6
Pparg,PPARG
Avp,AVP
Arglu1,ARGLU1
Sorbs2,SORBS2
Rhoa,RHOA
Rnd3,RND3
Arhgap12,ARHGAP12
Arhgap22,ARHGAP22
Arhgap23,ARHGAP23
Arhgap29,ARHGAP29
Arhgap35,ARHGAP35
Arhgap44,ARHGAP44
Arhgap45,ARHGAP45
Arhgap36,ARHGAP36
Arhgap6,ARHGAP6
Arhgef1,ARHGEF1
Arhgef2,ARHGEF2
Arhgef10l,ARHGEF10L
Arhgef15,ARHGEF15
Arhgef18,ARHGEF18
Arhgef28,ARHGEF28
Arhgef37,ARHGEF37
Arhgef7,ARHGEF7
Arhgef9,ARHGEF9
Rnd2,RND2
Rnd1,RND1
Tomm20,TOMM20
Arid5a,ARID5A
Phox2a,PHOX2A
Arl8b,ARL8B
Arl15,ARL15
Arl13b,ARL13B
Arl3,ARL3
Arl4a,ARL4A
Arl6ip1,ARL6IP1
Atl2,ATL2
Arl6ip5,ARL6IP5
Arl5b,ARL5B
